lonlat,2019-04-02_07-30,2019-04-02_07-31
"116.476575,39.844241",20,20
"116.476284,39.844404",20,20
"116.454094,39.862441",20,20
"116.453658,39.862322",20,20
"116.453434,39.862341",20,20
"116.453251,39.862432",20,20
"116.453142,39.862564",20,20
"116.453109,39.862725",20,20
"116.453156,39.862876",20,20
"116.453255,39.863007",20,20
"116.453643,39.863135",20,20
"116.454033,39.86302",20,20
"116.454228,39.862906",20,20
"116.47639,39.84408",20,20
"116.476643,39.843644",20,20
"116.476752,39.84338",20,20
"116.476806,39.843114",20,20
"116.472107,39.837985",20,20
"116.473192,39.838694",20,20
"116.474829,39.839764",20,20
"116.475255,39.839915",20,20
"116.475835,39.840197",20,20
"116.479369,39.840625",20,20
"116.479681,39.840452",20,20
"116.480036,39.840216",20,20
"116.479286,39.842713",20,20
"116.479215,39.84237",20,20
"116.479183,39.842037",20,20
"116.479199,39.841711",20,20
"116.479455,39.840941",20,20
"116.479697,39.840587",20,20
"116.480602,39.839759",20,20
"116.479356,39.842465",20,20
"116.479668,39.842515",20,20
"116.479792,39.841516",20,20
"116.479475,39.841574",20,20
"116.479276,39.841672",20,20
"116.47899,39.84189",20,20
"116.479628,39.841236",20,20
"116.479811,39.841065",20,20
"116.481824,39.839164",20,20
"116.48138,39.839718",20,20
"116.481119,39.840144",20,20
"116.480962,39.840498",20,20
"116.48266,39.845016",20,20
"116.454801,39.862458",20,20
"116.454994,39.862614",20,20
"116.454421,39.863063",40,40
"116.460789,39.87146",20,20
"116.444297,39.872056",60,60
"116.439815,39.870769",20,20
"116.439818,39.870846",20,20
"116.4392,39.870206",60,60
"116.439799,39.87043",60,60
"116.439094,39.870809",20,20
"116.439065,39.87047",60,60
"116.439069,39.870368",60,60
"116.439122,39.870285",60,60
"116.437579,39.859033",40,40
"116.436459,39.858964",20,20
"116.433156,39.858746",20,20
"116.440137,39.858872",20,20
"116.441436,39.858848",20,20
"116.444795,39.858785",20,20
"116.445026,39.85878",20,20
"116.446272,39.858825",20,20
"116.446871,39.858882",20,20
"116.447692,39.859009",20,20
"116.448622,39.859198",20,20
"116.449274,39.859392",20,20
"116.449797,39.859571",20,20
"116.450346,39.859791",20,20
"116.451015,39.860087",20,20
"116.451735,39.860455",20,20
"116.437609,39.858897",20,20
"116.274523,39.969487",20,20
"116.274661,39.96933",20,20
"116.274735,39.969186",20,20
"116.27476,39.969014",20,20
"116.274759,39.9688",20,20
"116.274722,39.968619",20,20
"116.274997,39.969839",20,20
"116.27526,39.969829",20,20
"116.275652,39.969746",40,40
"116.275828,39.969665",40,40
"116.275993,39.969558",40,40
"116.275459,39.968417",40,40
"116.27535,39.968527",40,40
"116.275287,39.96865",40,40
"116.275262,39.968986",40,40
"116.275196,39.962583",40,40
"116.274721,39.966876",40,40
"116.274757,39.967452",40,40
"116.275584,39.9698",40,40
"116.275522,39.969368",40,40
"116.276083,39.970089",40,40
"116.276357,39.970361",40,40
"116.27716,39.970996",40,40
"116.276027,39.969663",40,40
"116.412269,40.04724",20,20
"116.417207,39.988038",20,20
"116.417197,39.989153",20,20
"116.416591,39.995252",40,40
"116.416548,39.995121",20,20
"116.221403,39.990746",20,20
"116.221252,39.990041",20,20
"116.221138,39.989352",20,20
"116.220956,39.98088",20,20
"116.220857,39.979756",20,20
"116.220571,39.977497",20,20
"116.220392,39.976421",20,20
"116.241299,39.999414",20,20
"116.240542,39.999114",20,20
"116.220049,39.973508",20,20
"116.220579,39.976404",20,20
"116.22076,39.977489",20,20
"116.220954,39.978934",20,20
"116.221043,39.97975",20,20
"116.221144,39.980886",20,20
"116.221198,39.981844",20,20
"116.221242,39.98283",20,20
"116.221265,39.983905",20,20
"116.221258,39.988392",20,20
"116.221325,39.989339",20,20
"116.221426,39.990025",20,20
"116.22159,39.990723",20,20
"116.221825,39.991443",20,20
"116.338629,40.023287",20,20
